Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Texas A&M,11,40,-10,SEC,H,F,Mississippi,SEC,14,Win,N,1,-0.16,11,842,Completed,60,0,34,,,,,,,,,,,,
2018,Texas Tech,11,41,26,Big 12,H,U,Texas,Big 12,-7,Lose,N,3,1.63,30,-376,Completed,50,0,50,,,,,,,,,,,,
2018,Appalachian State,11,42,-8,Sun Belt,A,F,Texas State,Sun Belt,31,Win,N,-3,3.12,31,432,Completed,77.778,0,40,,,,,,,,,,,,
2018,Missouri,11,43,-7,SEC,H,F,Vanderbilt,SEC,5,Win,N,2,-0.98,-30,-54,Completed,60,0,41,,,,,,,,,,,,
2018,North Texas,11,44,-6,CUSA,A,F,Old Dominion,CUSA,-3,Lose,N,1,0.16,15,294,Completed,70,0,50,,,,,,,,,,,,
2018,Pittsburgh,11,45,-5,ACC,H,F,Virginia Tech,ACC,30,Win,N,1,8.89,31,-584,Completed,60,0,32,,,,,,,,,,,,
2018,South Carolina,11,46,27,SEC,A,U,Florida  ,SEC,-4,Lose,N,0,-0.33,-14,-680,Completed,55.556,0,50,,,,,,,,,,,,
2018,South Florida,11,47,22,AAC,A,U,Cincinnati,AAC,-12,Lose,N,-2,-0.55,58,-852,Completed,70,0,50,,,,,,,,,,,,
2018,Virginia,11,48,2,ACC,H,F,Liberty,Independent,21,Win,N,-2,1.39,-20,-58,Completed,70,0,44,,,,,,,,,,,,
2018,Arizona State,11,50,0,PAC 12,H,F,UCLA,PAC 12,3,Win,N,0,-0.93,17,740,Completed,60,0,36,,,,,,,,,,,,
2018,Stanford,11,50,0,PAC 12,H,F,Oregon State,PAC 12,31,Win,N,0,2.82,36,478,Completed,60,0,38,,,,,,,,,,,,
2018,Troy,11,50,0,Sun Belt,A,F,Georgia Southern,Sun Belt,14,Win,N,1,1.2,-2,552,Completed,80,0,39,,,,,,,,,,,,
2018,Tennessee,11,50,38,SEC,H,U,Kentucky,SEC,17,Win,N,-1,3.28,0,20,Completed,50,0,43,,,,,,,,,,,,
